Moves,Score,Time,Mean Time Per Move,Did Win,Highest Tile
"{'w': 35, 'a': 32, 's': 36, 'd': 43}",1208,0.2,0.0,False,128
"{'w': 31, 'a': 22, 's': 19, 'd': 22}",636,0.12,0.0,False,64
"{'w': 33, 'a': 23, 's': 26, 'd': 32}",832,0.16,0.0,False,64
"{'w': 22, 'a': 24, 's': 10, 'd': 31}",580,0.13,0.0,False,64
"{'w': 69, 'a': 58, 's': 64, 'd': 58}",2536,0.32,0.0,False,256
"{'w': 26, 'a': 29, 's': 15, 'd': 31}",712,0.12,0.0,False,64
"{'w': 44, 'a': 36, 's': 32, 'd': 31}",1244,0.19,0.0,False,128
"{'w': 38, 'a': 25, 's': 34, 'd': 31}",1068,0.18,0.0,False,128
"{'w': 39, 'a': 35, 's': 28, 'd': 39}",1212,0.2,0.0,False,128
"{'w': 17, 'a': 19, 's': 16, 'd': 23}",476,0.09,0.0,False,64
"{'w': 31, 'a': 30, 's': 29, 'd': 30}",1056,0.16,0.0,False,128
"{'w': 29, 'a': 24, 's': 25, 'd': 25}",692,0.13,0.0,False,64
"{'w': 35, 'a': 44, 's': 35, 'd': 43}",1336,0.21,0.0,False,128
"{'w': 31, 'a': 25, 's': 23, 'd': 23}",688,0.13,0.0,False,64
"{'w': 31, 'a': 40, 's': 29, 'd': 38}",1256,0.21,0.0,False,128
"{'w': 27, 'a': 18, 's': 29, 'd': 20}",668,0.15,0.0,False,64
"{'w': 31, 'a': 35, 's': 28, 'd': 26}",1024,0.16,0.0,False,128
"{'w': 38, 'a': 27, 's': 20, 'd': 20}",708,0.13,0.0,False,64
"{'w': 40, 'a': 32, 's': 48, 'd': 32}",1108,0.2,0.0,False,64
"{'w': 48, 'a': 33, 's': 43, 'd': 34}",1460,0.2,0.0,False,128
"{'w': 32, 'a': 16, 's': 21, 'd': 20}",616,0.12,0.0,False,64
"{'w': 43, 'a': 42, 's': 33, 'd': 39}",1304,0.2,0.0,False,128
"{'w': 23, 'a': 19, 's': 26, 'd': 30}",656,0.12,0.0,False,64
"{'w': 43, 'a': 35, 's': 40, 'd': 40}",1316,0.2,0.0,False,128
"{'w': 38, 'a': 38, 's': 39, 'd': 41}",1368,0.21,0.0,False,128
"{'w': 24, 'a': 23, 's': 18, 'd': 21}",588,0.12,0.0,False,64
"{'w': 26, 'a': 23, 's': 17, 'd': 20}",556,0.12,0.0,False,64
"{'w': 33, 'a': 30, 's': 33, 'd': 36}",1088,0.18,0.0,False,128
"{'w': 23, 'a': 26, 's': 22, 'd': 15}",632,0.11,0.0,False,64
"{'w': 42, 'a': 29, 's': 30, 'd': 25}",1028,0.16,0.0,False,128
"{'w': 35, 'a': 29, 's': 40, 'd': 26}",1180,0.18,0.0,False,128
"{'w': 48, 'a': 39, 's': 37, 'd': 33}",1360,0.2,0.0,False,128
"{'w': 34, 'a': 34, 's': 33, 'd': 24}",908,0.18,0.0,False,64
"{'w': 27, 'a': 22, 's': 29, 'd': 28}",696,0.15,0.0,False,64
"{'w': 46, 'a': 24, 's': 34, 'd': 22}",1052,0.16,0.0,False,128
"{'w': 28, 'a': 23, 's': 23, 'd': 26}",684,0.13,0.0,False,64
"{'w': 33, 'a': 19, 's': 27, 'd': 15}",660,0.12,0.0,False,64
"{'w': 17, 'a': 25, 's': 21, 'd': 26}",516,0.13,0.0,False,32
"{'w': 19, 'a': 21, 's': 28, 'd': 34}",664,0.16,0.0,False,64
"{'w': 59, 'a': 61, 's': 49, 'd': 64}",2468,0.32,0.0,False,256
"{'w': 34, 'a': 31, 's': 14, 'd': 28}",832,0.14,0.0,False,64
"{'w': 39, 'a': 35, 's': 33, 'd': 38}",1316,0.23,0.0,False,128
"{'w': 38, 'a': 33, 's': 28, 'd': 34}",968,0.18,0.0,False,64
"{'w': 38, 'a': 30, 's': 32, 'd': 45}",1332,0.21,0.0,False,128
"{'w': 25, 'a': 18, 's': 23, 'd': 20}",580,0.13,0.0,False,64
"{'w': 15, 'a': 20, 's': 13, 'd': 14}",340,0.09,0.0,False,32
"{'w': 84, 'a': 53, 's': 42, 'd': 55}",2392,0.31,0.0,False,256
"{'w': 16, 'a': 14, 's': 13, 'd': 16}",288,0.08,0.0,False,32
"{'w': 31, 'a': 35, 's': 20, 'd': 28}",856,0.17,0.0,False,64
"{'w': 53, 'a': 50, 's': 43, 'd': 37}",1960,0.25,0.0,False,256
"{'w': 22, 'a': 23, 's': 20, 'd': 34}",684,0.14,0.0,False,64
"{'w': 18, 'a': 14, 's': 20, 'd': 23}",428,0.09,0.0,False,32
"{'w': 21, 'a': 17, 's': 17, 'd': 19}",488,0.11,0.0,False,64
